Desktop_Software_Build_Version,1.7
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2022-03-30 13:40:12,Pass,Pass,Pass,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(°C),(deg),(),(m/s),(m²),(m³/s),(%)
000,13:49:17,48.29067N,013.15464E,-1,0.5,0.349,NaN,NaN,NaN,0.499,0.174,80,1,-1.062,0.105,-0.465,174.363,0.02,0.007,0.031,43.358,42.887,44.414,Best,10.173,1.954,1.00,NaN,NaN,NaN,NaN
001,13:55:05,48.29058N,013.15463E,-2,0.5,0.359,NaN,NaN,NaN,0.513,0.184,80,1,-1.208,-0.47,1.728,-158.745,0.011,0.005,0.019,43.085,42.978,43.554,Best,10.259,1.401,1.00,NaN,NaN,NaN,NaN
002,13:59:57,48.29058N,013.15465E,-2,1,0.456,NaN,NaN,NaN,0.498,0.227,80,0,-1.049,-0.48,1.768,-155.409,0.023,0.008,0.033,42.892,43.201,45.099,Best,10.279,1.866,1.00,NaN,NaN,NaN,NaN
003,14:05:30,48.29089N,013.15455E,5,0.5,0.248,NaN,NaN,NaN,0.407,0.101,80,1,-1.066,-0.216,0.777,-168.572,0.009,0.005,0.017,42.655,42.815,41,Best,10.297,1.706,1.00,NaN,NaN,NaN,NaN
004,14:08:04,48.29090N,013.15458E,5,1,0.219,NaN,NaN,NaN,0.475,0.104,80,0,-1.171,-0.117,0.415,-174.277,0.014,0.006,0.03,43.188,43.103,38.198,Best,10.297,1.753,1.00,NaN,NaN,NaN,NaN
005,14:13:51,48.29083N,013.15455E,2,0,0.184,NaN,NaN,NaN,0.457,0.084,80,0,-0.569,-0.22,0.856,-158.89,0.007,0.003,0.013,45.643,45.454,47.612,Best,10.33,2.118,1.00,NaN,NaN,NaN,NaN
006,14:16:46,48.29074N,013.15458E,1,0,0.159,NaN,NaN,NaN,0.503,0.08,80,1,-0.21,-0.206,0.83,-135.592,0.006,0.005,0.02,45.381,44.871,47.285,Best,10.334,1.151,1.00,NaN,NaN,NaN,NaN
007,14:20:33,48.29083N,013.15456E,1,0.5,0.412,NaN,NaN,NaN,0.471,0.194,80,0,-0.486,-0.166,0.656,-161.158,0.012,0.01,0.039,44.786,44.92,46.789,Best,10.332,1.713,1.00,NaN,NaN,NaN,NaN
008,14:23:40,48.29080N,013.15459E,1,1,0.646,NaN,NaN,NaN,0.48,0.31,80,3,-0.999,-0.499,1.918,-153.455,0.018,0.01,0.049,45.059,45.314,47.398,Best,10.297,2.949,1.00,NaN,NaN,NaN,NaN
009,14:27:18,48.29075N,013.15458E,0.1,0,0.433,NaN,NaN,NaN,0.453,0.196,80,1,-0.308,0.074,-0.378,166.446,0.019,0.01,0.045,46.491,46.188,48.404,Best,10.332,2.11,1.00,NaN,NaN,NaN,NaN
010,14:30:16,48.29056N,013.15464E,0.1,0.5,0.465,NaN,NaN,NaN,0.465,0.216,80,3,-0.426,-0.047,0.288,-173.715,0.025,0.01,0.035,43.819,43.807,45.346,Best,10.297,3.06,1.00,NaN,NaN,NaN,NaN
011,14:33:29,48.29069N,013.15464E,0.1,1,0.745,NaN,NaN,NaN,0.501,0.373,80,1,-0.781,-0.364,2.075,-154.987,0.045,0.017,0.067,42.572,42.579,44.804,Best,10.26,2.597,1.00,NaN,NaN,NaN,NaN
012,14:38:15,48.29070N,013.15463E,0,1,0.943,NaN,NaN,NaN,0.452,0.426,80,5,-1.108,-0.671,2.264,-148.804,0.021,0.01,0.039,43.47,43.718,45.163,Best,10.297,3.946,1.00,NaN,NaN,NaN,NaN
013,14:41:24,48.29070N,013.15464E,-0.1,1,0.933,NaN,NaN,NaN,0.458,0.427,80,0,-1.032,-0.553,2.059,-151.83,0.02,0.011,0.043,42.95,42.592,44.264,Best,10.328,5.808,1.00,NaN,NaN,NaN,NaN
014,14:44:50,48.29070N,013.15465E,0,1.1,0.923,NaN,NaN,NaN,0.451,0.416,80,0,-0.968,-0.49,1.917,-153.139,0.015,0.006,0.023,42.762,42.75,44.809,Best,10.334,4.867,1.00,NaN,NaN,NaN,NaN
015,14:47:39,48.29068N,013.15469E,0,1.2,0.844,NaN,NaN,NaN,0.453,0.382,80,3,-0.717,-0.172,0.676,-166.505,0.015,0.007,0.031,42.765,42.591,43.894,Best,10.334,3.677,1.00,NaN,NaN,NaN,NaN
016,14:51:36,48.29064N,013.15463E,-0.1,0,0.334,NaN,NaN,NaN,0.473,0.158,80,2,-0.182,-0.038,0.209,-168.198,0.01,0.007,0.03,43.657,43.532,45.162,Best,10.313,3.144,1.00,NaN,NaN,NaN,NaN
017,14:54:11,48.29067N,013.15463E,-0.1,0.5,0.655,NaN,NaN,NaN,0.476,0.312,80,0,-0.195,0.035,-0.198,169.698,0.021,0.01,0.041,44.498,44.365,46.089,Best,10.295,3.255,1.00,NaN,NaN,NaN,NaN
018,14:59:43,48.29072N,013.15468E,-0.1,1,0.908,NaN,NaN,NaN,0.447,0.406,80,0,-1.037,-0.572,2.138,-151.149,0.013,0.01,0.041,44.327,44.127,45.973,Best,10.259,8.653,1.00,NaN,NaN,NaN,NaN
019,15:06:00,48.29080N,013.15461E,2,0.5,0.331,NaN,NaN,NaN,0.511,0.169,80,1,-0.828,-0.318,1.228,-158.993,0.009,0.005,0.02,44.084,44.519,46.656,Best,10.295,2.687,1.00,NaN,NaN,NaN,NaN
020,15:09:44,48.29080N,013.15464E,2,1,0.453,NaN,NaN,NaN,0.508,0.23,80,0,-1.133,-0.402,1.56,-160.47,0.009,0.005,0.024,43.628,43.662,45.985,Best,10.297,2.192,1.00,NaN,NaN,NaN,NaN
